abacus 算盘 
abalone 鲍鱼 
abandon 放弃 
abase 贬 
abash 使羞愧 
abbey 僧院 
abbot 男修道院长 
abbreviate 缩写 
abdicate 退位;放弃 
abdomen 腹部 
abduct 诱拐 
abductor 诱拐者 
abhor 嫌恶;痛恨 
abide 守候 
ability 能力 
able 有能力的 
abnormal 不正常的 
aboard 在车，船上 
abolish 取消 
about 大约 
above 在□之上 
abrasive 粗厉的 
abridge 减少 
abroad 在国外 
abrupt 突然的 
absence 缺席;缺乏 
absent 缺席的 
absolute 绝对的 
absorb 吸收 
absorption 吸收;专心 
abstract 抽象;大要 
absurd 可笑的 
abundance □富 
abundant □富的 
abuse 虐待;滥用 
academic 学□的 
academy 专科院校 
accent 重音;腔调 
accept 接受 
acceptable 合意的 
access 通路 
accessible 易接近的 
accident 意外 
accidental 意外的 
acclaim 欢呼;喝采 
accommodate 适应 
accompany 陪同;伴奏 
accomplish 实行;完成 
accord 和谐;一致 
accumulate 堆积;增加 
accuracy 正确;精密 
accurate 正确的 
accusation 罪状;罪名 
accuse 控告;指责 
accustom 使习惯 
ace 么点 
ache 疼痛 
achieve 完成 
achievement 成就 
acid 酸性 
acknowledge 认知;承认 
acknowledgment 答谢 
acquaint 通知 
acquaintance 熟知;相识 
acquire 获得 
acquisition 收□ 
acre 英亩 
add 加 
addict 有药瘾者 
additional 附加的 
address 地址;演说 
adequate 足够的 
adhere 附着;固守 
adieu 再会 
adjacent 接近的 
adjective 形容辞 
adjoin 连接;毗连 
adjourn 休会 
adjust 调整 
administer 管理 
admirable 令人钦佩的 
admiral 海军总司令 
admiration □赏 
admire 敬服;□美 
admission 承认;许可 
admit 容许;招收 
adopt 收养;□用 
adoption 收养;□用 
adore 崇拜 
adult 成人 
advance 提高;预付 
advanced 高级的 
advantage 优势;利益 
adventure 冒险 
adverb 副词 
adversary 对抗者 
adversity 逆境 
advertise 登广告 
advertisement 广告 
advice 忠告 
advise 忠告 
adviser 指导教授 
advocate 鼓吹者 
aeroplane 飞机 
affair 事件 
affect 影响 
affection 爱情 
affectionate 深爱的 
affinity 姻亲 
affirm 断言 
afflict 折磨 
afford 力足以做 
afloat 浮着 
afraid 害怕 
after 後来 
afternoon 下午 
afterwards 之後 
again 再一次 
age 年龄 
aged 年老的 
agency 代理 
agent 代理人 
aggravate 激怒 
aggregate 聚集 
aggressive 气势汹汹的 
agitate 搅动 
agitation 搅动 
ago 以前 
agonize 烦恼 
agony 烦恼 
agree 同意 
agreeable 适意的 
agreement 契约 
agricultural 农业的 
agriculture 农业 
ahead 领先 
aid 援助 
ail 苦恼 
ailment 病 
aim 对□;目的 
air 空气 
airline 航空公司 
airmail 航空邮件 
airplane 飞机 
airport 飞机场 
airship 飞船 
airy 通风的 
aisle 过道 
alarm 警报 
album 像片簿 
alcohol 酒精 
ale 麦酒 
alert 警惕的 
algebra 代数 
alien 外国的 
alike 相同 
alive 活着 
alkali 硷 
all 所有的 
alley 巷;小径 
alliance 同盟 
allied 同盟的 
alligator 鳄鱼 
allow 允许 
allowance 津贴 
ally 同盟 
almanac 年□ 
almighty 大能的 
almond 杏仁 
almost 几乎 
aloft 在高处 
alone 独自的 
along 沿着;一同 
alongside 在□旁边 
aloud 高声 
alphabet 字母 
alpine 高山的 
already 已经 
also 也;还 
altar 祭坛 
alter 更改 
alteration 改变 
alternate 轮流;交替 
alternative 交替的 
although 虽然 
altitude 高度 
altogether 总共 
aluminum 铝 
always 永远 
am 是 
amateur 业馀者 
amaze 惊奇 
amazement 惊异 
amazing 惊人的 
ambassador 大使 
amber 琥珀 
ambition 野心 
ambitious 有雄心的 
ambulance 救护车 
ambush 埋伏 
amen 阿们 
amend 修正 
amendment 修正 
America 美洲 
amiable 可爱;亲切 
amid 在□之中 
amiss 错误的 
ammonia 氨 
ammunition 弹药;军火 
among 在□之中 
amount 数量 
ample □富的 
amuse 使娱乐 
amusement 娱乐;消遣 
amusing 有趣的 
an 一个 
analysis 分析 
analyze 解析 
anatomy 解剖学 
ancestor 祖先 
ancestral 祖先的 
anchor 锚 
ancient 古老的 
and 和 
anecdote 轶事;奇闻 
anew 重新 
angel 天使 
anger 愤怒 
angle 角;角度 
angrily 愤怒地 
angry 愤怒的 
anguish 痛苦;烦闷 
animal 动物 
ankle 脚踝 
annals 编年史 
annex 附加;合□ 
annihilate 灭绝 
anniversary 周年纪念 
announce 宣□ 
announcement 通告;告示 
annoy 苦恼 
annoyance 烦恼 
annual 周年的 
anoint □油於□ 
another 另一 
anoxia 缺氧症 
answer 回答;答案 
ant 蚁 
antagonist 对手;敌手 
Antarctic 南极的 
antecedent 先例 
antelope 羚羊 
antenna 触角;天线 
anthracite 无烟煤 
anticipate 预知;预料 
anticipation 期望 
antique 古物 
